OpCo,OpCo Name,Subsidiary,Subsidiary Name,Departure Airport,Departure Airport Name,Departure Country,Departure Country Name,Departure Region,Arrival Airport,Arrival Airport Name,Arrival Country,Arrival Country Name,Arrival Region,Aircraft type,Date,Cabin,Service,# Passengers,# Flights
VY,Vueling,,,FCO,ROME-FIUMICINO,IT,Italy,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,,2019-07-02,Economy,Non-Premium,997,19
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,PMI,PALMA,ES,Spain,Europe/Domestic,,2019-07-02,Economy,Non-Premium,649,19
VY,Vueling,,,PMI,PALMA,ES,Spain,Europe/Domestic,BCN,BARCELONA,ES,Spain,Europe/Domestic,,2019-07-02,Economy,Non-Premium,584,14
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,CDG,PARIS CHARLES DE GAULLE,FR,France,Europe,,2019-07-02,Economy,Non-Premium,814,12
VY,Vueling,,,CDG,PARIS CHARLES DE GAULLE,FR,France,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,,2019-07-02,Economy,Non-Premium,261,5
VY,Vueling,,,JMK,MYKONOS,GR,Greece,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,948,14
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,PRG,PRAGUE RUZYNE INTERNATIONAL AIRPORT,CZ,Czech Republic,Europe,A320,2019-07-02,Economy,Non-Premium,630,16
VY,Vueling,,,PRG,PRAGUE RUZYNE INTERNATIONAL AIRPORT,CZ,Czech Republic,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,219,16
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,MRS,MARSEILLE,FR,France,Europe,A320,2019-07-02,Economy,Non-Premium,907,4
VY,Vueling,,,MRS,MARSEILLE,FR,France,Europe,ALG,ALGIERS,DZ,Algeria,AMESA,A320,2019-07-02,Economy,Non-Premium,875,16
VY,Vueling,,,ALG,ALGIERS,DZ,Algeria,AMESA,MRS,MARSEILLE,FR,France,Europe,A320,2019-07-02,Economy,Non-Premium,101,6
VY,Vueling,,,MRS,MARSEILLE,FR,France,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,353,14
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,NCE,NICE COTE D'AZUR,FR,France,Europe,A320,2019-07-02,Economy,Non-Premium,621,18
VY,Vueling,,,NCE,NICE COTE D'AZUR,FR,France,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,990,7
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,BIO,BILBAO,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,473,20
VY,Vueling,,,BIO,BILBAO,ES,Spain,Europe/Domestic,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,941,4
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,TLS,TOULOUSE BLAGNAC,FR,France,Europe,A320,2019-07-02,Economy,Non-Premium,712,5
VY,Vueling,,,TLS,TOULOUSE BLAGNAC,FR,France,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,270,18
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,IBZ,IBIZA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,794,7
VY,Vueling,,,IBZ,IBIZA,ES,Spain,Europe/Domestic,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,915,7
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,CAG,CAGLIARI,IT,Italy,Europe,A320,2019-07-02,Economy,Non-Premium,834,8
VY,Vueling,,,CAG,CAGLIARI,IT,Italy,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,187,10
VY,Vueling,,,FCO,ROME-FIUMICINO,IT,Italy,Europe,JMK,MYKONOS,GR,Greece,Europe,A320,2019-07-02,Economy,Non-Premium,928,10
VY,Vueling,,,JMK,MYKONOS,GR,Greece,Europe,FCO,ROME-FIUMICINO,IT,Italy,Europe,A320,2019-07-02,Economy,Non-Premium,396,20
VY,Vueling,,,FCO,ROME-FIUMICINO,IT,Italy,Europe,LGW,LONDON GATWICK,GB,United Kingdom,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,108,4
VY,Vueling,,,LGW,LONDON GATWICK,GB,United Kingdom,Europe/Domestic,FCO,ROME-FIUMICINO,IT,Italy,Europe,A320,2019-07-02,Economy,Non-Premium,606,7
VY,Vueling,,,FCO,ROME-FIUMICINO,IT,Italy,Europe,ORY,ORLY-PARIS,FR,France,Europe,A320,2019-07-02,Economy,Non-Premium,773,6
VY,Vueling,,,ORY,ORLY-PARIS,FR,France,Europe,FCO,ROME-FIUMICINO,IT,Italy,Europe,A320,2019-07-02,Economy,Non-Premium,492,8
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,VGO,VIGO AIRPORT,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,528,18
VY,Vueling,,,VGO,VIGO AIRPORT,ES,Spain,Europe/Domestic,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,614,14
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,MXP,MILAN - MALPENSA,IT,Italy,Europe,A320,2019-07-02,Economy,Non-Premium,785,13
VY,Vueling,,,MXP,MILAN - MALPENSA,IT,Italy,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,740,18
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,MUC,MUNICH,DE,Germany,Europe,A320,2019-07-02,Economy,Non-Premium,236,5
VY,Vueling,,,MUC,MUNICH,DE,Germany,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,912,7
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,JMK,MYKONOS,GR,Greece,Europe,A320,2019-07-02,Economy,Non-Premium,622,7
VY,Vueling,,,CDG,PARIS CHARLES DE GAULLE,FR,France,Europe,LGW,LONDON GATWICK,GB,United Kingdom,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,734,9
VY,Vueling,,,LGW,LONDON GATWICK,GB,United Kingdom,Europe/Domestic,CDG,PARIS CHARLES DE GAULLE,FR,France,Europe,A320,2019-07-02,Economy,Non-Premium,525,16
VY,Vueling,,,CDG,PARIS CHARLES DE GAULLE,FR,France,Europe,LGW,LONDON GATWICK,GB,United Kingdom,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,289,8
VY,Vueling,,,LGW,LONDON GATWICK,GB,United Kingdom,Europe/Domestic,CDG,PARIS CHARLES DE GAULLE,FR,France,Europe,A320,2019-07-02,Economy,Non-Premium,637,12
VY,Vueling,,,CDG,PARIS CHARLES DE GAULLE,FR,France,Europe,MAH,MENORCA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,870,13
VY,Vueling,,,MAH,MENORCA,ES,Spain,Europe/Domestic,CDG,PARIS CHARLES DE GAULLE,FR,France,Europe,A320,2019-07-02,Economy,Non-Premium,735,19
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,LIS,LISBON,PT,Portugal,Europe,A320,2019-07-02,Economy,Non-Premium,155,9
VY,Vueling,,,LIS,LISBON,PT,Portugal,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,675,11
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,IBZ,IBIZA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,576,15
VY,Vueling,,,IBZ,IBIZA,ES,Spain,Europe/Domestic,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,682,6
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,CDG,PARIS CHARLES DE GAULLE,FR,France,Europe,A320,2019-07-02,Economy,Non-Premium,231,17
VY,Vueling,,,CDG,PARIS CHARLES DE GAULLE,FR,France,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,543,17
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,FCO,ROME-FIUMICINO,IT,Italy,Europe,A320,2019-07-02,Economy,Non-Premium,899,14
VY,Vueling,,,FCO,ROME-FIUMICINO,IT,Italy,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,800,7
VY,Vueling,,,FCO,ROME-FIUMICINO,IT,Italy,Europe,HER,HERAKLION,GR,Greece,Europe,A320,2019-07-02,Economy,Non-Premium,106,18
VY,Vueling,,,HER,HERAKLION,GR,Greece,Europe,FCO,ROME-FIUMICINO,IT,Italy,Europe,A320,2019-07-02,Economy,Non-Premium,164,16
VY,Vueling,,,FCO,ROME-FIUMICINO,IT,Italy,Europe,SPU,SPLIT,HR,Croatia,Europe,A320,2019-07-02,Economy,Non-Premium,698,9
VY,Vueling,,,SPU,SPLIT,HR,Croatia,Europe,FCO,ROME-FIUMICINO,IT,Italy,Europe,A320,2019-07-02,Economy,Non-Premium,978,6
VY,Vueling,,,MAD,MADRID,ES,Spain,Europe/Domestic,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,369,8
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,MAD,MADRID,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,804,13
VY,Vueling,,,MAD,MADRID,ES,Spain,Europe/Domestic,MAH,MENORCA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,913,10
VY,Vueling,,,MAH,MENORCA,ES,Spain,Europe/Domestic,AGP,MALAGA AIRPORT,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,237,6
VY,Vueling,,,AGP,MALAGA AIRPORT,ES,Spain,Europe/Domestic,MAH,MENORCA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,145,5
VY,Vueling,,,MAH,MENORCA,ES,Spain,Europe/Domestic,MAD,MADRID,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,604,19
VY,Vueling,,,MAD,MADRID,ES,Spain,Europe/Domestic,IBZ,IBIZA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,925,6
VY,Vueling,,,IBZ,IBIZA,ES,Spain,Europe/Domestic,MAD,MADRID,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,242,7
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,ATH,ATHENS,GR,Greece,Europe,A320,2019-07-02,Economy,Non-Premium,483,18
VY,Vueling,,,ATH,ATHENS,GR,Greece,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,999,7
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,MXP,MILAN - MALPENSA,IT,Italy,Europe,A320,2019-07-02,Economy,Non-Premium,200,18
VY,Vueling,,,MXP,MILAN - MALPENSA,IT,Italy,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,131,5
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,MAH,MENORCA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,962,12
VY,Vueling,,,MAH,MENORCA,ES,Spain,Europe/Domestic,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,760,11
VY,Vueling,,,HER,HERAKLION,GR,Greece,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,182,13
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,CDG,PARIS CHARLES DE GAULLE,FR,France,Europe,A320,2019-07-02,Economy,Non-Premium,632,20
VY,Vueling,,,CDG,PARIS CHARLES DE GAULLE,FR,France,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,260,16
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,OPO,PORTO,PT,Portugal,Europe,A320,2019-07-02,Economy,Non-Premium,483,2
VY,Vueling,,,OPO,PORTO,PT,Portugal,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,593,8
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,VGO,VIGO AIRPORT,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,402,20
VY,Vueling,,,VGO,VIGO AIRPORT,ES,Spain,Europe/Domestic,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,887,2
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,OPO,PORTO,PT,Portugal,Europe,A320,2019-07-02,Economy,Non-Premium,351,17
VY,Vueling,,,OPO,PORTO,PT,Portugal,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,834,18
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,IBZ,IBIZA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,999,5
VY,Vueling,,,IBZ,IBIZA,ES,Spain,Europe/Domestic,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,970,9
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,LPA,LAS PALMAS GRAN CANARIA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,130,19
VY,Vueling,,,LPA,LAS PALMAS GRAN CANARIA,ES,Spain,Europe/Domestic,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,677,18
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,LCG,LA CORUNA AIRPORT,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,146,20
VY,Vueling,,,LCG,LA CORUNA AIRPORT,ES,Spain,Europe/Domestic,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,943,2
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,LGW,LONDON GATWICK,GB,United Kingdom,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,794,16
VY,Vueling,,,LGW,LONDON GATWICK,GB,United Kingdom,Europe/Domestic,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,201,13
VY,Vueling,,,OTP,BUCHAREST OTOPENI,RO,Romania,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,900,19
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,IBZ,IBIZA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,365,8
VY,Vueling,,,IBZ,IBIZA,ES,Spain,Europe/Domestic,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,817,12
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,DUB,DUBLIN,IE,Ireland,Europe,A320,2019-07-02,Economy,Non-Premium,129,13
VY,Vueling,,,DUB,DUBLIN,IE,Ireland,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,241,19
VY,Vueling,,,PMI,PALMA,ES,Spain,Europe/Domestic,VLC,VALENCIA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,564,4
VY,Vueling,,,VLC,VALENCIA,ES,Spain,Europe/Domestic,PMI,PALMA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,774,3
VY,Vueling,,,PMI,PALMA,ES,Spain,Europe/Domestic,ZRH,ZURICH,CH,Switzerland,Europe,A320,2019-07-02,Economy,Non-Premium,304,14
VY,Vueling,,,ZRH,ZURICH,CH,Switzerland,Europe,PMI,PALMA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,745,9
VY,Vueling,,,PMI,PALMA,ES,Spain,Europe/Domestic,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,954,14
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,DME,MOSCOW - DOMODEDEVO,RU,Russia,Europe,A320,2019-07-02,Economy,Non-Premium,349,12
VY,Vueling,,,DME,MOSCOW - DOMODEDEVO,RU,Russia,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,257,3
VY,Vueling,,,TLV,TEL AVIV,IL,Israel,AMESA,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,606,14
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,ARN,STOCKHOLM-ARLANDA,SE,Sweden,Europe,A320,2019-07-02,Economy,Non-Premium,458,12
VY,Vueling,,,ARN,STOCKHOLM-ARLANDA,SE,Sweden,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,635,5
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,OPO,PORTO,PT,Portugal,Europe,A320,2019-07-02,Economy,Non-Premium,174,10
VY,Vueling,,,OPO,PORTO,PT,Portugal,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,992,2
VY,Vueling,,,PMI,PALMA,ES,Spain,Europe/Domestic,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,284,2
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,PMI,PALMA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,374,19
VY,Vueling,,,PMI,PALMA,ES,Spain,Europe/Domestic,MUC,MUNICH,DE,Germany,Europe,A320,2019-07-02,Economy,Non-Premium,529,14
VY,Vueling,,,MUC,MUNICH,DE,Germany,Europe,PMI,PALMA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,535,16
VY,Vueling,,,PMI,PALMA,ES,Spain,Europe/Domestic,STR,STUTTGART,DE,Germany,Europe,A320,2019-07-02,Economy,Non-Premium,144,15
VY,Vueling,,,STR,STUTTGART,DE,Germany,Europe,PMI,PALMA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,180,6
VY,Vueling,,,PMI,PALMA,ES,Spain,Europe/Domestic,FCO,ROME-FIUMICINO,IT,Italy,Europe,A320,2019-07-02,Economy,Non-Premium,824,9
VY,Vueling,,,FCO,ROME-FIUMICINO,IT,Italy,Europe,PMI,PALMA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,891,7
VY,Vueling,,,FCO,ROME-FIUMICINO,IT,Italy,Europe,NTE,NANTES,FR,France,Europe,A320,2019-07-02,Economy,Non-Premium,195,18
VY,Vueling,,,NTE,NANTES,FR,France,Europe,FCO,ROME-FIUMICINO,IT,Italy,Europe,A320,2019-07-02,Economy,Non-Premium,721,6
VY,Vueling,,,FCO,ROME-FIUMICINO,IT,Italy,Europe,CDG,PARIS CHARLES DE GAULLE,FR,France,Europe,A320,2019-07-02,Economy,Non-Premium,325,9
VY,Vueling,,,CDG,PARIS CHARLES DE GAULLE,FR,France,Europe,FCO,ROME-FIUMICINO,IT,Italy,Europe,A320,2019-07-02,Economy,Non-Premium,462,3
VY,Vueling,,,FCO,ROME-FIUMICINO,IT,Italy,Europe,CTA,CATANIA,IT,Italy,Europe,A320,2019-07-02,Economy,Non-Premium,534,12
VY,Vueling,,,CTA,CATANIA,IT,Italy,Europe,FCO,ROME-FIUMICINO,IT,Italy,Europe,A320,2019-07-02,Economy,Non-Premium,502,11
VY,Vueling,,,FCO,ROME-FIUMICINO,IT,Italy,Europe,JTR,THIRA,GR,Greece,Europe,A320,2019-07-02,Economy,Non-Premium,558,13
VY,Vueling,,,PMI,PALMA,ES,Spain,Europe/Domestic,SVQ,SEVILLE,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,138,15
VY,Vueling,,,SVQ,SEVILLE,ES,Spain,Europe/Domestic,PMI,PALMA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,628,9
VY,Vueling,,,PMI,PALMA,ES,Spain,Europe/Domestic,MRS,MARSEILLE,FR,France,Europe,A320,2019-07-02,Economy,Non-Premium,431,10
VY,Vueling,,,MRS,MARSEILLE,FR,France,Europe,PMI,PALMA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,180,17
VY,Vueling,,,PMI,PALMA,ES,Spain,Europe/Domestic,LYS,LYON,FR,France,Europe,A320,2019-07-02,Economy,Non-Premium,712,6
VY,Vueling,,,LYS,LYON,FR,France,Europe,PMI,PALMA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,382,19
VY,Vueling,,,PMI,PALMA,ES,Spain,Europe/Domestic,NTE,NANTES,FR,France,Europe,A320,2019-07-02,Economy,Non-Premium,388,11
VY,Vueling,,,NTE,NANTES,FR,France,Europe,PMI,PALMA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,300,5
VY,Vueling,,,AGP,MALAGA AIRPORT,ES,Spain,Europe/Domestic,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,674,17
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,AGP,MALAGA AIRPORT,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,727,11
VY,Vueling,,,AGP,MALAGA AIRPORT,ES,Spain,Europe/Domestic,LPA,LAS PALMAS GRAN CANARIA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,974,20
VY,Vueling,,,LPA,LAS PALMAS GRAN CANARIA,ES,Spain,Europe/Domestic,AGP,MALAGA AIRPORT,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,163,12
VY,Vueling,,,AGP,MALAGA AIRPORT,ES,Spain,Europe/Domestic,ACE,ARRECIFE-LANZAROTE,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,331,12
VY,Vueling,,,ACE,ARRECIFE-LANZAROTE,ES,Spain,Europe/Domestic,AGP,MALAGA AIRPORT,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,628,20
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,AMS,AMSTERDAM,NL,Netherlands,Europe,A320,2019-07-02,Economy,Non-Premium,992,18
VY,Vueling,,,AMS,AMSTERDAM,NL,Netherlands,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,247,4
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,BLQ,BOLOGNA,IT,Italy,Europe,A320,2019-07-02,Economy,Non-Premium,276,10
VY,Vueling,,,BLQ,BOLOGNA,IT,Italy,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,786,7
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,VCE,VENICE,IT,Italy,Europe,A320,2019-07-02,Economy,Non-Premium,323,7
VY,Vueling,,,VCE,VENICE,IT,Italy,Europe,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,959,19
BA,British Airways,CJ,Cityflyer,LHR,LONDON HEATHROW,GB,United Kingdom,Europe/Domestic,NBO,NAIROBI,KE,Kenya,AMESA,747,2019-07-02,Economy,Non-Premium,754,5
BA,British Airways,CJ,Cityflyer,NBO,NAIROBI,KE,Kenya,AMESA,LHR,LONDON HEATHROW,GB,United Kingdom,Europe/Domestic,747,2019-07-02,Economy,Non-Premium,600,12
BA,British Airways,CJ,Cityflyer,OSL,OSLO GARDERMOEN,NO,Norway,Europe,LHR,LONDON HEATHROW,GB,United Kingdom,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,498,15
BA,British Airways,CJ,Cityflyer,LHR,LONDON HEATHROW,GB,United Kingdom,Europe/Domestic,DUB,DUBLIN,IE,Ireland,Europe,A320,2019-07-02,Economy,Non-Premium,973,11
BA,British Airways,CJ,Cityflyer,DUB,DUBLIN,IE,Ireland,Europe,LHR,LONDON HEATHROW,GB,United Kingdom,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,129,17
BA,British Airways,CJ,Cityflyer,LHR,LONDON HEATHROW,GB,United Kingdom,Europe/Domestic,AGP,MALAGA AIRPORT,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,137,10
BA,British Airways,CJ,Cityflyer,AGP,MALAGA AIRPORT,ES,Spain,Europe/Domestic,LHR,LONDON HEATHROW,GB,United Kingdom,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,367,10
